;Gloss;Examples
302.;"「なす」 {為す* 1236} [""(to) effect"" (i.e., bring about, realize, perform, etc.)]";"518-15; 954-14; 1743-20; 1748-1; 2048-29; 2056-5; 2075-27; 2103-14"
303.;"「なぜか〜」 {何故か** 815, 257} [""for some reason __""]";"530-5; 2014-15"
304.;"「なぜなら(ば)〜からだ」 {何故なら(ば)〜からだ** 815, 257} [""because __""]";180-16
305.;"「-んばかり(に)」 [""practically __""]";"1764-18; 2043-8; 2136-11"
306.;"「ね」 [speaker seeks confirmation/agreement]";"15-8; 15-14; 24-9; 87-6; 89-2"
307.;"「ねえ / ねぇ」 [exclamation]";"39-10; 1607-25; 1712-17; 2213-28"
308.;"「ねえ / ねぇ」 [vulgar pronunciation of ない].";"643-20; 2267-10"
309.;"「-ねばならない」 [imperative]";500-5
310.;"「ねがう / ねがいます」 {願う / 願います 214} [request]";"17-3; 190-5; 214-1"
311.;"「〜に」[time of occurrence]";"1-8; 3-1; 4-3; 9-4; 25-3; 30-7; 55-14"
312.;"「〜に」[marks indirect object]";"2-10; 28-2; 29-7; 51-3; 51-9; 51-13; 51-19; 53-11"
313.;"「〜に」[marks agent/source]";"21-7; 21-8; 47-10; 56-5; 92-9; 135-8; 137-4; 330-4"
314.;"「〜に」[""on __""]";"14-1; 27-3; 60-2; 62-8; 64-4; 64-7; 64-9; 124-8; 125-9"
315.;"「〜に」[location of existence]";"3-7; 15-18; 22-2; 27-5; 33-5; 34-2; 35-8"
316.;"「〜に」[""to __"", ""toward __""]";"10-8; 21-4; 21-5; 24-3; 26-3; 29-6; 30-7; 38-1; 38-12"
317.;"「〜にあたり / 〜にあたって」 {〜に当たり / 〜に当たって 141} [""on the occasion of __"", ""when __""; ""for __""]";"1510-24; 1668-22; 1953-9; 2164-6"
318.;"「〜にちがいない」 {〜に違いない 663} [""no doubt __""]";"663-35; 741-10; 893-26; 903-19"
319.;"「〜にはんして / 〜にはんする」 {〜に反して / 〜に反する 374} [""contrary to __""]";"374-1; 374-6; 532-28; 543-3"
320.;"「〜にほかならない」 {〜に他ならない 189} [""be nothing but __""]";815-39
321.;"「〜にかぎらず」 {〜に限らず 282} [""not limited to __""]";"795-15; 869-44"
322.;"「〜にかぎって」 {〜に限って 282} [""only (this one) of all (its group)""]";"637-7; 1927-8"
323.;"「〜にかかわらず」 {〜に関わらず 451} [""regardless of __""]";"975-16; 1052-10"
324.;"「〜にかけては」 [""when it comes to __""]";298-20
325.;"「〜にかんして / 〜にかんする」 {〜に関して / 〜に関する 451} [""with regard to __"", ""about __""]";"451-9; 451-11; 495-4; 540-21; 582-29"
326.;"「〜にかわって」 {〜に代わって 71} [""in place of __""]";"1661-26; 1922-35"
327.;"「〜にきがつく」[""notice __""]";"126-6; 238-15; 327-14; 382-4"
328.;"「〜にきまっている」 {〜に決まっている 330} [""be bound to __""]";653-24
329.;"「-にくい」 {-難い* 712} [""hard to __""]";"46-12; 135-4; 235-4"
330.;"「〜にくらべると / 〜にくらベて」 {〜に比べると / 〜に比べて 123} [""compared to __""]";"123-5; 1118-10; 1227-14"
331.;"「〜にもかかわらず」 {〜にも関わらず 451} [""although __""]";"650-29; 1238-25; 1430-26; 1760-32"
332.;"「〜にもとづいて / 〜にもとづく」 {〜に基づいて / 〜に基づく 485} [""based on __""]";"485-4; 499-10; 499-26; 532-32; 1165-23"
333.;"「〜になると」 [""when __ comes""]";"238-11; 239-15; 243-3; 454-13; 467-33"
334.;"「〜において / 〜における」 {〜に於いて* / 〜に於ける* 1885} [""in/on/at/to __""]";"194-10; 282-11; 371-10; 379-14; 427-5; 539-24; 1885-1; 1885-2"
335.;"「〜におうじて / 〜におうじた」 {〜に応じて / 〜に応じた 850} [""in response to __""; ""corresponding to __""]";"860-12; 1036-13; 1039-13; 1099-13; 1147-11; 1224-10"
336.;"「〜にさらされる」 [passive form of さらす (""expose""): ""be exposed to __""].";"76-7; 425-6; 799-40; 888-11"
337.;"「〜にしろ / 〜にせよ」 [imperative]";1377-21
338.;"「〜にしろ / 〜にせよ」 [""regardless of (whether) __""]";"923-18; 1276-17; 1874-18; 2179-19; 2189-43"
339.;"「〜にしたがって / 〜にしたがい」 {〜に従って / 〜に従い 869} [""in accordance with __""; ""as __""]";"544-21; 869-17; 869-36; 892-19; 1712-37"
340.;"「〜にして〜」 [""both __ and __""]";1304-18
341.;"「〜にして」 [""at/in (such a) time""]";"167-5; 1432-28; 1484-31"
342.;"「〜にしても」 [""regardless of (whether) __""]";"1260-28; 1466-27; 2150-33"
343.;"「〜にしては」 [""for (a) __""]";"676-5; 1022-17; 1498-9"
344.;"「〜にすぎない」 {〜に過ぎない 464} [""be merely __""]";"674-12; 799-30; 838-24; 1454-4"
345.;"「〜にすむ」 {〜に住む 366} [""live in (a particular place)"" - generally conjugated in -ている form].";"22-2; 254-11; 366-2"
346.;"「〜にする」 [""opt for __""]";"6-4; 16-6; 42-5; 53-10"
347.;"「〜にたいして / 〜にたいし」 {〜に対して / 〜に対し 650} [""toward __""; ""(as) against __""]";"502-10; 551-7; 650-30; 738-42; 744-12; 760-43"
348.;"「〜にとどまらず」 {〜に止まらず 42} [""go beyond __""]";2222-11
349.;"「〜にとって」 [""as far as __ is concerned"", ""for/to __""]";"33-7; 95-10; 201-6; 244-7; 245-6; 277-10"
350.;"「〜について」 {〜に就いて** 1283} [""about __""]";"51-21; 77-2; 79-7; 80-17; 81-11; 106-4; 118-6"
351.;"「〜につけ」 {〜に付け* 64} [""whenever __""]";2032-18
352.;"「〜につき」 {〜に付き* 64} [""per __""]";"15-1; 38-6; 394-8; 1743-13"
353.;"「〜につれて / 〜につれ」 {〜に連れて* / 〜に連れ* 582} [""as __""; ""in proportion to __""]";"375-4; 424-6; 553-12; 1483-20; 1512-16; 1686-7"
354.;"「〜には」 [""for the purpose of __""]";"125-10; 204-7; 303-11; 315-12"
355.;"「〜にわたって / 〜にわたる」 {〜に亘って* / 〜に亘る* 1395} [""spanning over __""]";"78-12; 778-14; 968-3; 1118-8; 1155-21; 1395-1"
356.;"「〜によらない」 {〜に依らない* 701} [""without (being based on) __""].";"1473-18; 1608-17; 1657-32; 2190-37; 2191-15"
357.;"「〜によらず」 {〜に依らず* 701} [""independent of (whether) __""]";1197-33
358.;"「〜によれば」 {〜に依れば* 701} [""according to __""]";"1260-31; 1472-43; 1576-17; 1761-19"
359.;"「〜による」 {〜に依る* 701} [""based on __""; ""by __""].";"182-2; 227-19; 348-2; 368-12; 387-9; 389-3"
360.;"「〜によると」 {〜に依ると* 701} [""according to __""]";"51-20; 256-5; 546-41"
361.;"「〜によって / 〜により」 {〜に依って* / 〜に依り* 701} [""based on/depending on __""; ""due to __""]";"45-6; 129-5; 135-7; 420-6; 1005-39; 1078-30; 1266-7; 1399-9"
362.;"「〜によって + passive」 {〜に依って* 701} [""(done) by __""]";"45-6; 154-10; 155-7; 235-3; 302-7; 341-4"
363.;"「の」 [nominalizer]";"43-6; 51-10; 70-11; 83-15; 95-13; 97-9; 112-4"
364.;"「の」 [marks end of modifying phrase]";"2-5; 2-7; 2-10; 3-7; 4-3; 6-7; 9-6; 10-2"
365.;"「の」 [female: explanation or assertion]";"384-21; 802-8; 1111-11"
366.;"「の(?)」 [female: question marker]";"5-8; 37-4; 55-2; 152-10; 847-26; 1987-11"
367.;"「〜ので」 [""because __""]";"67-11; 71-15; 103-12; 142-25"
368.;"「(の)であれば」 [""if it's the case that __""]";815-39
369.;"「のである / のです / のだ / んだ」 [explanation or assertion]";"33-9; 36-5; 38-9; 46-8; 71-6; 83-29; 113-20; 294-6; 423-17"
370.;"「〜(の)かわりに」 {〜(の)代わりに 71} [""in place of __""; ""in compensation for __""]";"71-5; 71-9; 71-15; 82-2; 100-12; 315-10"
371.;"「〜のこと」 {〜の事* 80} [""about __""]";"29-2; 53-15; 78-16; 80-2; 85-4; 88-22; 95-4; 134-17; 142-24; 321-5"
372.;"「〜のみ」 [""only __""]";"282-4; 412-7; 549-21; 760-34"
373.;"「〜のみならず」 [""not only __""]";"1260-36; 2083-12"
374.;"「〜のもとで」 {〜の下で 40} [""under __""]";"76-6; 393-14; 398-11; 542-18; 753-6; 923-12; 932-37; 1213-9"
375.;"「〜のなさ」 {〜の無さ* 48} [""lack of __""]";"1818-4; 2217-11"
376.;"「〜のに」 [""even though __""]";"148-7; 148-14; 221-10; 266-15; 286-2"
377.;"「〜のに」 [""in order to __""]";"190-7; 272-2; 294-2; 302-21; 368-16"
378.;"「〜(の)うえで」 {〜(の)上で 41} [""upon __""]";2278-13
379.;"「〜のうえでは」 {〜の上では 41} [""as far as __ is concerned""]";1113-12
380.;"「〜のは〜だ」 [statement about a clause]";"97-9; 99-16; 111-5; 117-11; 1466-23"
381.;"「-んとする」 [""try to __""; ""be about to __""]";"1999-33; 2197-32"
382.;"「-ぬ」 [""not __""]";"560-13; 642-17; 658-1; 956-38"
383.;"「Numerals」;1-2;";5-2
384.;"「お-」 [prefix expressing politeness]";"10-6; 23-4; 27-2; 29-1; 35-10; 53-8; 77-3"
385.;"「〜おかげ」 {〜お陰* 1311} [""thanks to __""]";"438-4; 564-8; 607-12; 615-2; 1640-25; 1982-9"
386.;"「お-〜ください / ご-〜ください」 {お-〜下さい / ご-〜下さい 40} [""please __""]";"126-22; 162-4; 338-4; 366-4; 1133-24; 1256-33"
387.;"「おまえ」 {お前 113} [very informal: ""you""]";"113-9; 113-20"
388.;"「おまけに〜」 {お負けに〜* / 御負けに〜** 829, 862} [""what's more, __""]";521-12
389.;"「おもいきって〜」 {思い切って〜 142} [""boldly/resolutely __""]";"142-22; 249-9; 1558-17; 1913-19; 2020-46"
390.;"「おもうに〜」 {思うに〜 142} [""in my view __"", ""I think __""]";"588-19; 1374-7; 1621-7; 1829-38; 2289-13"
391.;"「お-〜になる」 [polite description of outgroup person's action]";"299-13; 560-30; 1112-13"
392.;"「おのおの」 {各々 786} [""each""]";"786-5; 1186-2"
393.;"「おおむね」 {概ね 1821} [""on the whole""; ""roughly""]";1885-6
394.;"「おおわれる」 {覆われる 1870} [passive form of おおう (""cover""): ""be covered""].";"78-17; 607-13; 912-4; 1652-11; 1870-6"
395.;"「おれ」 {俺 1356} [very informal: ""I""]";"113-23; 124-8; 182-10"
396.;"「〜おり(に)」 {〜折りに* 1698} [at a particular time/opportunity/occasion]";1698-23
397.;"「お-〜する」 [polite description of action by oneself or another ingroup person]";"17-3; 18-6; 53-4"
398.;"「および」 {及び* 1760} [""and""]";"356-11; 393-20; 581-10; 636-7; 696-4; 1760-25"
399.;"「およそ〜」 {凡そ〜** 1629} [""generally __""; ""roughly __""]";"71-14; 129-5; 554-16; 596-9; 652-4; 2062-32"
400.;"「Past tense adjectives」";"2-6; 36-13"
401.;"「Past tense verbs」";"1-2; 1-6; 2-4; 3-6; 5-2; 5-3; 7-3"
402.;"「-っぱなし」 {-放し* 574} [leave in an improper state]";67-11
403.;"「-っぽい」 ["" __like""]";"27-6; 240-4; 631-17"
404.;"「-ら」 {-等* 393} [plural personal pronoun suffix]";"15-16; 223-7; 264-10"
405.;"「-られる」 [passive]";"42-4; 45-7; 47-11; 47-12; 51-23; 53-16; 55-21; 76-5; 76-7"
406.;"「〜らしい」 [""(it) seems (that) __"", ""I heard (that) __""; ""__-like""]";"15-20; 92-2; 93-5; 97-7; 152-2; 171-1"
407.;"「れいの〜」 {例の〜 721} [reference to an understood object: ""the aforementioned __"", ""that __"", ""the customary __""]";"743-7; 1078-27; 1080-6; 1472-12; 1636-12; 1774-5"
408.;"「ろくに〜ない」 [""not properly __""]";1009-26
409.;"「-さ」 [""__ness""]";"186-6; 260-6"
410.;"「〜さ」 [""__, I tell you.""]";"910-17; 1167-10; 1731-15; 1916-28; 1925-17"
411.;"「〜さえ」 [""even __""; ""(if) just __""]";"88-22; 142-15; 403-8; 422-32; 461-15; 503-24"
412.;"「〜さい(に)」 {〜際に 638} [""on the occasion of __"", ""when __""]";"638-6; 638-15; 642-6; 669-31; 712-19"
413.;"「さらに〜」 {更に〜 889} [""still more __""]";"78-17; 84-11; 237-33; 708-22; 774-14; 889-7"
414.;"「さらす」 [""expose""].";"398-19; 1031-25"
415.;"「-させられる」 [causative-passive verbs]";"383-17; 823-15; 859-25; 947-8; 1142-6; 1182-10; 1419-18; 1564-28; 1949-12"
416.;"「-させられる」 [causative  {-させる} + potential  {-られる}; cf. causative-passive  {-させられる, DJG 1 p 392}]";706-37
417.;"「-させる」 [causing/permitting]";"135-8; 145-4; 289-8; 303-6; 303-10; 357-5; 677-28; 826-5; 827-23"
418.;"「-さす」 [causing/permitting]";2154-8
419.;"「さすが」 [""as one might expect""]";560-29
420.;"「さて」 [initiates a new matter]";"467-30; 483-4; 568-18; 664-13; 1017-22"
421.;"「さぞ(かし)〜」 [""must be __""]";775-42
422.;"「せい」 [""because of __""]";"927-36; 1018-28; 1105-2; 1466-23; 1580-9; 1593-43"
423.;"「せっかく〜」 {折角〜** 1698, 342} [indicates a situation that should be taken advantage of]";"253-8; 1252-1; 1683-16"
424.;"「せめて〜」 [""at least __""]";1876-12
425.;"「し」 [""and"", ""besides""]";"94-9; 218-9; 263-2; 1317-25"
426.;"「〜しだい」 {〜次第 1191} [""as soon as __""; ""depends on __""]";"1191-2; 1191-3; 1434-1; 1505-14; 1675-4"
427.;"「しかも〜」 [""and __""; ""and yet __""]";"1494-2; 1924-4; 1596-21; 1620-16; 1638-3; 1659-14; 1912-46"
428.;"「しか〜ない」 [""no more than __/no other than __""]";"1-4; 10-7; 51-12; 83-11; 88-23; 94-10"
429.;"「しかし」 [""but""]";"464-21; 478-16"
430.;"「しる」 {知る 560} [""know""]";560-15
431.;"「したがって〜」 {従って〜 869} [""accordingly, __""]";"869-39; 926-36; 1022-23; 1040-5; 1113-11; 1302-5"
432.;"「そこで〜」 {其処で〜** 1757, 553} [""(and) so __""]";"96-6; 142-21; 194-12; 569-21; 582-31; 679-33"
433.;"「そもそも(の)」 {抑** / 抑抑** 1137} [""to begin with"", ""originally""]";"1613-8; 1821-10; 2206-4"
434.;"「〜そのもの」 [""__ itself""]";"831-31; 1062-21; 1130-41; 1756-9"
435.;"「そのうえ〜」 {その上〜 41} [""furthermore, __""]";"1191-24; 2179-19"
436.;"「それだけ」 {其れだけ** 1757} [""that much""]";942-30
437.;"「それで〜」 {其れで〜** 1757} [""that's why __""]";"1064-18; 1260-30"
438.;"「それでも〜」 {其れでも〜** 1757} [""yet __""]";179-13
439.;"「それでは〜」 {其れでは〜** 1757} [""then __""]";237-23
440.;"「それどころか」 {其れどころか** 1757} [""far from it""]";1033-17
441.;"「それから〜」 {其れから〜** 1757} [""and then __""]";"61-10; 76-8; 96-11; 183-19"
442.;"「それも〜」 {其れも〜** 1757} [""what's more, __""]";"1323-5; 1530-10"
443.;"「それなら〜」 {其れなら〜** 1757} [""in that case, __""]";"184-3; 1735-19"
444.;"「それなりの」 {其れなりの** 1757} [""(one's) own particular __""]";"1149-14; 1585-15"
445.;"「それに〜」 {其れに〜** 1757} [""in addition, __""]";"310-9; 344-12; 631-22"
446.;"「それと〜」 {其れと〜** 1757} [""in addition, __""]";1356-12
447.;"「それとも〜」 {其れとも** 1757} [""or __""]";"36-12; 75-11; 1296-3; 1672-18; 1917-36; 2062-36"
448.;"「それぞれ」 {其々** 1757} [""each""; ""respectively""]";"65-12; 95-3; 113-14; 298-23; 384-11; 437-3"
449.;"「そして」 [""and""]";"76-8; 141-20; 157-10; 183-14; 278-10"
450.;"「-そう(だ)」 [""look __""; ""__-looking""]";"97-1; 180-12; 230-1; 563-13; 726-7; 780-30"
451.;"「〜そうだ」 [""I heard that __""]";"617-16; 775-37; 845-12"
452.;"「そういう〜 / そういった〜」 {そう言う〜 / そう言った〜 51} [""such __""]";"310-10; 577-25; 628-28; 633-21; 683-19"
453.;"「-そうになる」 [""on the verge of __""]";"941-10; 1373-10"
454.;"「そうした〜」 [""such __""]";"691-11; 838-29; 981-23"
455.;"「そうして」 [""like this""]";"669-29; 927-36"
456.;"「〜すえ(に)」 {〜末(に) 272} [""at the end of __""]";"233-6; 272-3; 272-4; 2109-27"
457.;"「-すぎる」 {-過ぎる 464} [""__ too much"", ""over-__""]";"113-9; 143-10; 171-3; 185-5; 202-2; 464-3"
458.;"「すぐ」 [""immediately""; ""directly""]";"21-5; 39-3; 55-5; 64-11; 91-11; 114-10"
459.;"「すきだ」 {好きだ 95} [""be fond of""]";95-6
460.;"「すくない」 {少ない 677} [""few""; ""little""]";"30-5; 107-4; 677-3"
461.;"「すくなくとも〜」 {少なくとも〜 677} [""at least __""]";"677-32; 842-31"
462.;"「すなわち〜」 {即ち〜* 390} [""namely, __"", ""that is, __""]";"471-1; 557-9; 1197-25; 1459-17"
463.;"「〜すら」 [""even __""]";"549-27; 795-15; 1083-10; 1607-33"
464.;"「すると〜」 [""then __""]";"316-13; 450-23; 579-15"
465.;"「-たあとで」 {-た後で 114} [""after __ing""]";"793-28; 1024-5"
466.;"「〜たびに」 {〜度に* 280} [""every time __""]";"280-13; 355-20; 1028-24"
467.;"「-たち」 {-達 1475} [plural personal pronoun suffix]";"15-17; 71-8"
468.;"「ただ〜」 {只〜* 1194} [""just __"", ""only __""]";"303-14; 349-4; 431-4; 597-24; 648-14; 1194-5"
469.;"「ただの〜」 {只の〜* 1194} [""ordinary __"", ""nothing but __""]";"83-27; 515-20; 706-30; 1454-4"
470.;"「ただし〜」 {但し〜 1393} [proviso: ""however, __""]";1393-3
471.;"「-たい」 [""want to __""]";"15-11; 51-21"
472.;"「たいへん〜」 {大変〜 33, 775} [""terribly __""]";775-25
473.;"「〜たいとおもっている」 {〜たいと思っている 142} [""would like to __""].";"142-18; 237-21"
474.;"「たかが〜」 {高が〜** 185} [""mere __""]";392-1
475.;"「-たくない」 [negative form of -たい (""want to __""): ""do not want to __""]";"33-6; 51-15; 58-3"
476.;"「たくさん」 {沢山* 1504, 37} [""a lot of""]";"29-7; 68-12"
477.;"「-たまえ」 {-給え* 526} [male, familiar: imperative]";"1448-9; 1561-9; 1652-10"
478.;"「たまには〜」 [""occasionally __""]";"873-9; 2125-9"
479.;"「〜ため(に)」 {〜為に* 1236} [""for (the sake of) __""]";"15-9; 38-13; 45-7; 46-9; 78-6; 83-28"
480.;"「〜ため(に)」 {〜為に* 1236} [""because of __""]";"154-8; 266-18; 361-7; 368-17; 415-8"
481.;"「-たら」 [""if __""; ""when __""]";"55-3; 130-6; 136-15; 142-23; 148-10"
482.;"「-たら(どうですか)」 [""why not __""]";"91-3; 1505-10"
483.;"「〜-たり〜-たりする」 [partial enumeration of actions/states]";"201-8; 505-13"
484.;"「たりとも〜ない」 [""not a single __""]";"386-10; 1464-10; 1802-3"
485.;"「〜たるや」 [""when it comes to __""]";2166-16
486.;"「たしかに〜が」 {確かに〜が 1133} [""indeed __, but __""]";1743-18
487.;"「たとえ〜」[""even if __"", ""no matter __""]";"1681-50; 1988-6; 2014-23"
488.;"「-たところで」 [""even if __""]";811-5
489.;"「たった〜」 [""just __"", ""only __""]";"13-6; 63-9; 1057-16; 1330-25; 1801-1"
490.;"「-たって」 [""even if __"", ""no matter __""]";"761-13; 2014-23"
491.;"「-てあげる」 {-て上げる* 41} [""do __ (for someone)""]";"60-6; 276-23; 788-20"
492.;"「-てある」 [indicates completed action and resulting condition]";"79-10; 340-11; 343-6"
493.;"「-て / -で」 [connective form of verbs]";"5-7; 7-5; 12-8; 28-5; 38-5; 46-14; 47-3; 55-5; 56-2"
494.;"「-て / -で」 [connective form of adjectives]";"33-11; 48-7; 80-11; 176-4; 185-8; 215-6; 262-11"
495.;"「-てはじめて」 {-て初めて 710} [""not until __"", ""for the first time in __""]";"710-27; 752-12; 1971-27; 2299-17"
496.;"「-てほしい」 {-て欲しい 1035} [""want(s) (someone) to __""]";"71-6; 73-8; 103-10; 1035-26; 1373-8"
497.;"「-ていく」 {-て行く 55} [""go on __ing""]";"239-14; 336-9; 521-9; 817-21"
498.;"「-ている」 [""be __ing""; ""have (done) __""]";"4-6; 12-7; 15-21; 21-6; 22-2; 33-8; 34-3; 67-13"
499.;"「-ているひと」 {-ている人 15} [""person (who is) __ing""]";"35-9; 67-13"
500.;"「-ていただく」 {-て頂く / -て戴く* 1913, 1914} [""do __ for (me)""]";"280-16; 282-7; 309-17; 1913-5"
501.;"「-てから」 [""after __ing""; ""since __""]";"117-23; 226-11; 233-1; 253-7; 423-17"
502.;"「-てください」 {-て下さい 40} [""please __""]";"6-4; 8-6"
503.;"「-てくださる」 {-て下さる 40} [""do __ for (me)""]";"225-5; 231-6; 348-7"
504.;"「-てくれる」 {-て呉れる** 1478} [""do __ for (me)""]";"71-3; 71-15; 100-6; 160-2; 165-3; 179-19"
505.;"「-てくる」 {-て来る** 274} [""begin to __""; ""come to __""; ""up to now""]";"83-24; 246-2; 294-6; 336-15; 735-11"
506.;"「-てみる」 [""try (out) __""; ""check out __""]";"74-3; 97-5; 104-3; 106-1; 298-11"
507.;"「-てみせる」 {-て見せる* 83} [""am determined to __""]";"461-11; 809-9"
508.;"「-ても」 [""even if __""]";"191-21; 239-13; 282-11"
509.;"「-てもいい」 [""all right if __""]";"55-8; 100-12; 125-5; 132-6; 249-11"
510.;"「-てもらう」 {-て貰う** 1160} [""do __ for (me)""]";"135-9; 223-3; 279-10; 302-17; 311-4; 1160-3"
511.;"「-てならない」 [""cannot help/bear __""]";"1184-5; 2034-14"
512.;"「〜てん(で)」 {〜点(で) 349} [""in terms of __""]";"349-3; 349-4; 349-10; 349-12; 767-3"
513.;"「-ておく」 {-て置く 843} [indicates act of prudence/getting something done]";"52-3; 83-28; 109-7; 174-6; 240-3; 274-21"
514.;"「-ており」 [written equivalent of verbal connective -ていて]";"669-30; 797-17; 812-19; 889-13; 932-56; 1102-13"
515.;"「-てる」 [colloquial contraction of -ている: ""be __ing""; ""have (done) __""]";"113-23; 398-5; 565-13; 578-9; 597-12"
516.;"「-てしかたがない / -てしようがない / -てしょうがない」 {-て仕方がない / -て仕様がない 371, 173, 501} [""cannot help/bear __""]";"371-25; 1084-2"
517.;"「-てしまう」 [""do (something regrettable)""; ""finish __ing""]";"102-7; 134-16; 152-19; 288-20; 334-21; 371-30"
518.;"「-てすます / -てすませる」 {-て済ます / -て済ませる 1260} [""make do (with __)""]";1616-14
519.;"「-てすむ」 {-て済む 1260} [""be enough""]";"1260-32; 1811-19"
520.;"「-てた」 [colloquial contraction of -ていた: ""was __ing""; ""had (done) __""]";"113-20; 703-2"
521.;"「-てたまらない」 [""cannot help/bear __""]";"597-22; 619-23"
522.;"「-ては」 [links a verb with a negative statement]";"1078-30; 1220-13; 1549-24"
523.;"「-てはだめ(だ)」 {-ては駄目(だ)* 2275} [""must not __""]";1160-10
524.;"「-てはいけない」 [""must not __""]";"191-19; 486-27; 525-3; 540-35; 849-43; 1042-14"
525.;"「-てやる」 [""do __ (for someone)""]";"73-3; 83-28; 555-37; 1061-4"
526.;"「-てよかった」 {-て良かった* 285} [""was good to have __ed""]: DJG v1 p89 (covered under -ばよかった; note typo: ""yakatta"" should be ""yokatta""); Genki ch19";89-2
527.;"「と」 [""and"" within an exhaustive list; cf. や]";"2-8; 3-5; 55-19; 57-4; 70-14; 70-15"
528.;"「〜と」 [""with __""]";"36-13; 53-14; 55-18"
529.;"「と」 [marks sound/manner or quoted speech]";"14-4; 15-26; 39-13; 51-15; 53-9; 59-9; 161-6; 222-10"
530.;"「〜と」 [""if __""; ""when __""]";"5-8; 44-5; 59-13"
531.;"「〜とあって」 [""because __""]";2258-14
532.;"「〜とあっては」 [""if it's the case that __""]";829-17
533.;"「〜といえば」 {〜と言えば* 51} [""speaking of __""]";792-5
534.;"「〜といえども」 {〜と言えども** 51} [""even though __""; ""any __""]";"1130-53; 2160-8"
535.;"「〜といい」 {〜と言い 51} [""it would be good if __"", ""I hope __""]";"253-7; 2095-35"
536.;"「〜といっしょに」 {〜と一緒に 2, 1450} [""along with __""]";"1257-44; 1450-10"
537.;"「-といた」 [colloquial contraction of -ておいた, past tense of -ておく: indicates act of prudence/getting something done].";173-19
538.;"「〜といった」 {〜と言った* 51} [""such as __""]";"1223-24; 1266-8; 1484-29"
539.;"「〜といっても」 {〜と言っても* 51} [introduces qualification of preceding statement]";1762-15
540.;"「〜という」 {〜と言う* 51} [links identifier with identified]";"91-11; 92-11; 97-9; 121-7; 169-16; 245-7"
541.;"「〜というふうに」 {〜と言う風に* 51, 425} [""in (such a) way""]";"315-7; 436-4"
542.;"「AというのはB(という)ことだ」 {Aと言うのはB(と言う)ことだ* / Aと言うのはB(と言う)事だ** 51, 80} [""A means B""]";1207-7
543.;"「〜というと」 {〜と言うと* 51} [""at the mention of __"", ""when (one) says __""]";134-17
544.;"「〜といわず」 {〜と言わず 51} [""be it __ (or any other)""]";1971-31
545.;"「〜とか」 [non-exhaustive examples]";"1430-24; 1595-33; 1631-19"
546.;"「とかく〜」 [""apt to __"", ""liable to __""]";760-46
547.;"「〜とき」 {〜時* 383} [""when __""]";"56-9; 96-9; 124-7; 137-14; 157-8; 215-11"
548.;"「〜ところ」 [""when __""]";"83-27; 127-2; 460-14; 607-13; 934-20"
549.;"「〜ところだ」 [""be just about to __"", ""be just now __ing"", ""have just now __ed""]";"148-9; 716-23; 726-13; 804-11; 941-17; 1650-12"
550.;"「ところが〜」 [""however, __""]";"147-19; 380-8"
551.;"「-とく」 [colloquial contraction of -ておく: indicates act of prudence/getting something done].";113-23
552.;"「〜とも」 [""both/all __""; ""(n)either (of) __""].";"15-14; 63-3; 104-5; 142-8; 237-23; 262-11"
553.;"「ともかく」 [""anyway""]";1798-9
554.;"「〜となる」 [""become __""]";"12-8; 15-25; 30-1; 186-9; 209-6; 210-3"
555.;"「〜となると」 [""when it comes to __""; ""if it is the case that __""]";2275-31
556.;"「とにかく」 [""anyway""]";"196-9; 273-18; 712-7"
557.;"「〜とおもう」 {〜と思う 142} [""think(s) (that) __""]";"81-12; 114-6; 142-3"
558.;"「〜とおなじく」 {〜と同じく 182} [""as well as __""; ""in the same way as __""]";"1143-22; 1527-14; 1598-34; 1668-14; 1672-17; 2190-32"
559.;"「〜とおり(に) / 〜どおり(に)」 {〜通りに 159} [""just as __""]";"51-14; 136-15; 159-1; 159-11"
560.;"「とりあえず〜」 {取り敢えず〜* 59, 809} [""__ at once""; ""__ for now""].";"14-4; 144-6; 809-1"
561.;"「〜として」 [""in the capacity of __""]";"47-11; 98-7; 148-12; 313-5; 325-15; 333-15; 420-12; 480-5; 484-1"
562.;"「〜としては」 [""for (a) __""]";1310-19
563.;"「〜とする」 [follows description of an impression or sensation]";"36-4; 176-1; 220-4; 238-3; 320-2; 456-2"
564.;"「〜とする」 [""assume __""]";"533-10; 921-9; 1405-14; 2008-9"
565.;"「〜とたん(に)」 {〜途端に* 1000, 2114} [""the moment __""]";"494-7; 965-9; 1800-9; 2114-19; 2300-2"
566.;"「とても〜」 [""quite __""]";"24-10; 27-8; 29-6; 68-7"
567.;"「〜とともに」 {〜と共に 356} [""along with __""]";"76-5; 142-21; 179-12; 423-17"
568.;"「とうとう〜」 [""finally __""]";"7-3; 312-8; 387-21; 454-10; 578-14"
569.;"「〜とはいえ」 {〜とは言え* 51} [""even if __""]";"1748-4; 2133-11; 2231-8"
570.;"「〜とはかぎらない」 {〜とは限らない 282} [""not necessarily __""]";"936-13; 1087-30; 1269-25; 1505-25; 1586-6; 2032-7"
571.;"「Transitive and intransitive verbs」";"12-2; 12-7; 36-2; 36-7; 44-4; 44-5"
572.;"「ついでに」 {序でに** 1209} [""while you're at it, __""]";179-19
573.;"「ついに〜」 {遂に〜* 2210} [""at last __"", ""at length __""]";"62-5; 81-7; 90-8; 137-8; 173-20; 2210-1"
